Address,Unit,Rent,Beds,Baths,Sq Ft,Available,Status,Link,Image URL,Last Updated
"400 Claremont, 5080, Jersey City, NJ 07304",,"$2,575",1 bd,1 ba,686,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/055a9bd2-f437-4bf5-b088-7cd00075e326,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/473c78f5-1a35-420f-951a-68c6cc46a30d/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 3001, Jersey City, NJ 07304",,"$2,510",1 bd,1 ba,644,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/c6dc8c88-b98d-43ab-ac91-70df668c8425,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/c393ae1f-ebc8-4b85-b714-6c9ef0298d83/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 2002, Jersey City, NJ 07304",,"$2,070",Studio,1 ba,371,NOW,,https://waterfrontmgmtllc.appfolio.com/listings/detail/037b8c7d-d770-4560-8762-126ca9013530,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/7938f801-ce78-424b-8cf9-77463a10b789/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 1029, Jersey City, NJ 07304",,"$2,250",1 bd,1 ba,447,5/30/26,,https://waterfrontmgmtllc.appfolio.com/listings/detail/f9d29e6e-c042-48a7-919a-92df81b7d474,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/e6a84881-b425-4c2d-94f6-120769e64ded/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 2055, Jersey City, NJ 07304",,"$2,150",1 bd,1 ba,435,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/bf22a93d-95f8-4765-bb5f-76fe655d6e52,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/38b46d35-7ddf-4e29-b684-d989a04b579a/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 3007, Jersey City, NJ 07304",,"$2,165",1 bd,1 ba,435,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/42aa8d5d-9f5e-49b2-bd9c-e253bf8cf097,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/6b8a6792-9c3b-4441-bc4b-e00950b0d5d3/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 3101, Jersey City, NJ 07304",,"$2,625",1 bd,1 ba,710,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/47435bb9-9631-40ac-b93b-50e04bfa7da9,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/3935eaa7-a199-4048-82f5-7b4ec54f06c8/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 1040, Jersey City, NJ 07304",,"$2,035",Studio,1 ba,289,NOW,,https://waterfrontmgmtllc.appfolio.com/listings/detail/5fced6f6-dde7-4ec6-a82a-160d0ee56100,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/765db220-583a-4c42-812e-ed5696de4cc0/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 2039, Jersey City, NJ 07304",,"$2,500",1 bd,1 ba,615,NOW,,https://waterfrontmgmtllc.appfolio.com/listings/detail/ba6fc42c-79f6-477b-a3c4-95426663c8b5,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/a8ed3cbd-7627-45d4-ba67-53a47fff6788/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 6031, Jersey City, NJ 07304",,"$2,500",1 bd,1 ba,587,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/0155cd65-b860-485b-8c5c-aa04e426d83b,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/5a3a3a7e-c880-44f0-acda-e0056a7a4087/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 4040, Jersey City, NJ 07304",,"$2,070",Studio,1 ba,364,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/9deb97f2-de98-4688-b05b-7cfd822850b5,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/a1514b95-c579-4278-9cc6-b74eeaa47c02/original.jpg,2026-05-25T01:54:57.946Z
"400 Claremont, 3079, Jersey City, NJ 07304",,"$2,550",1 bd,1 ba,690,,,https://waterfrontmgmtllc.appfolio.com/listings/detail/fd035149-d651-4920-97a9-d8ae660b267f,https://images.cdn.appfolio.com/waterfrontmgmtllc/leads_marketing_photos/e1278059-2287-4d51-9e18-db516d7d3c86/original.jpg,2026-05-25T01:54:57.946Z
